address,amount0,amount1,amount2,amount3,amount4,amount5
0x79296AF571577C023BbcaFd55F22d5FE2262D885,1,1,7378248,22134744,1,1
0x380a25841120c9d605dB792077e358d6fD0611B2,1,1,7325471,21976413,1,1
0x5aB66a7C9673D24864E7A1f67548d369fd857120,1,1,7273271,21819813,1,1
0x0296CD430220B8cB54472C48e08F203316c49d62,1,1,7189322,21567967,1,1
0x46518007cCaD8Fe2c3E1083E90c24784273e79E0,1,1,7148172,21444516,1,1
0x63A0F6E4ed15eaC652f01ea18714420b96Ff8097,1,1,7132901,21398704,1,1
0x2437Db820DE92d8DD64B524954fA0D160767c471,1,1,7089951,21269854,1,1
0x722bF4Da6661A5573C25565e4F893ca77a5264A3,1,1,7021890,21065670,1,1
0x31Bed50C98F42Fc909Cc1e850Cf8b41F127B7a0a,1,1,7005335,21016007,1,1
0xFf88DFCf24CbF36198eAb1946b99a63D57a52d7F,1,1,7002633,21007901,1,1
0xaFBff94cE97871C1A163a1bF0b7f309DC373B588,1,1,6912074,20736222,1,1
0xe732eA56A02B979aa9C82A1e478454250d78528d,1,1,6749492,20248478,1,1
0x11ca6B6e4D1dB6B60c3925B7d5764A29EeD1E6ab,1,1,6677683,20033049,1,1
0xbC60f87e105a8774c3a1cCAe6Bc2e6f45503FB71,1,1,6662023,19986071,1,1
0x5E0F85302beb7003E379CC243d28b1FB67F0E227,1,1,6658309,19974927,1,1
0x7fD0Ec4d9908A712852d32d110839Fc1A9Ce55d5,1,1,6630638,19891915,1,1
0x6be2bBA79a21805d5D38b4A9f71f89A8d695e698,1,1,6627449,19882348,1,1
0xd9E857944a75F6AD3d2dcc157A0D214d44d022e6,1,1,6517992,19553977,1,1
0x099516e11707D3AD3C020DC4E8820CFCe835A50d,1,1,6453400,19360200,1,1
0x9af50f028FEec8CF1fba8aAAE1cA4C577061Db4f,1,1,6445358,19336075,1,1
0x8aEa8b398Ee347F99DDdBdc4db3EF5ae37aD3C32,1,1,6385270,19155810,1,1
0x6C2520E68f761080d8E758a8Ba00b40495A6E95b,1,1,6239737,18719212,1,1
0x3b1897657d4A37BA2aAbDf31E5cC7d0d70521152,1,1,6228369,18685109,1,1
0xCC13EA40741dA5021257cBa0487e56E949bd49E6,1,1,6151732,18455198,1,1
0xCB16408DfEe9491A3899512CfB9627A33d9732fE,1,1,6099985,18299957,1,1
0xfaFA01E5A44b5165f59d9CCF8140757A7c197432,1,1,6092003,18276009,1,1
0xBEca610feeC013a9707476b870FD8967Ee00ce08,1,1,6003980,18011942,1,1
0x5144C0cB4c09C90f6d5B7025bb63D58f8B10006C,1,1,5975381,17926145,1,1
0x3042C792a3019BEEc8991383A58FFdF9A1E33579,1,1,5967081,17901243,1,1
0x823193aC72ef2aB9Fc24E64e6C90AE6291e83A11,1,1,5962318,17886955,1,1
0x795589Fd29b21Da9CF3bCcbCA6C7380ffd6B430a,1,1,5930304,17790914,1,1
0x2017E5195fF122d29AB94Dd422C50e4B52b7Abd7,1,1,5885619,17656859,1,1
0x18B912C4d316f0c5B77349B8fd09A469B525721B,1,1,5845975,17537926,1,1
0xe1335454aBB7116338c847DE5Bc482A059d4Ae7E,1,1,5822253,17466759,1,1
0x68B7FB0BE99A826E3A08ca23B1e0114e4D922B3A,1,1,5809857,17429572,1,1
0x6D55Be7B9A4C23664eE2f826FaEd09ea47A09E73,1,1,5797541,17392625,1,1
0xFa63Cf7edd42dbaB6F1eB0bDD776C3160712ce18,1,1,5691617,17074851,1,1
0x41fc2e180fA3e4E46b6d15DC8b7C049E88982deD,1,1,5605231,16815693,1,1
0x910D6B8b59cd6D2c2C10A4BB5135a59f64901545,1,1,5562086,16686258,1,1
0x49a3a539bE4615C870CCFD49E1801629f7436Fd0,1,1,5500362,16501087,1,1
0x53b8F496a2C4939C6d99Ba7AFBc0f91DD17E158B,1,1,5493403,16480210,1,1
0x4E5ADaa8c9c632d46C9e7cbD75E708B2A67C1BA3,1,1,5310964,15932894,1,1
0x271eB0A5D7e14f7c59c73CC4f5647BB3C15C4dFf,1,1,5177215,15531647,1,1
0x53dA01A5e7B4BB9fD42E8Ca75D1B76A5b32bC58c,1,1,5143984,15431954,1,1
0x2c274aaEE9B63815229F84a4B52Fe2FeF713b117,1,1,5066587,15199761,1,1
0x7BC7B6d05c856215EC41E1F99f8b981df04927e4,1,1,5064394,15193184,1,1
0xf4cAAB9a7FAcFca64FAA003b1e1221fb44B8e259,1,1,5055171,15165515,1,1
0xBa4a0C0A80D0F54c19490Fb80f26750d5820f5E6,1,1,5007222,15021668,1,1
0x3F374Cd50121706585dCaEbde4032154F79919e3,1,1,4987579,14962738,1,1
0xb20cf38b673EB6fabA07C374f9Ad6f7403E0bbCB,1,1,4948033,14844101,1,1
0x234dFD43a9B27d069FB50A89702e65785c44dF28,1,1,4930248,14790745,1,1
0xfa06DDc1B3b6e839e58C03A7aAE973E49De09757,1,1,4893751,14681254,1,1
0x308ace681749eB7673b31A612eA7bF9bf81E4C8E,1,1,4880031,14640095,1,1
0x9FBF555C8522783E65019100352a97479853CAe1,1,1,4797716,14393148,1,1
0xd66A6Bb1d856B3Fd995BC8E7BA6EADF5a9874B95,1,1,4790806,14372418,1,1
0x5CA18142b3Aa0E4e580ec939fe3761af37395262,1,1,4734962,14204887,1,1
0x12B2669E5920C7C1082Fa05eA7BECF82e2771d4E,1,1,4714936,14144810,1,1
